# Overall CCR, Precision, Recall, F1
9.750000000000000000e+01,1.000000000000000000e+02,9.500000000000000000e+01,9.743589743589743080e+01
9.500000000000000000e+01,1.000000000000000000e+02,9.000000000000000000e+01,9.473684210526316463e+01
