# 3 hidden states, 4 hidden states, 5 hidden states, 6 hidden states, 7 hidden states, 8 hidden states, 
0.000000000000000000e+00,-1.138530849167363049e+05,-1.117361222342534311e+05,-1.136312307420507714e+05,-1.215057720259737980e+05,-1.208684425558572984e+05,-1.207875489605247567e+05
0.000000000000000000e+00,-9.706284423738547775e+04,-9.658979145105836506e+04,-9.625312346621285542e+04,-9.513214096492783574e+04,-9.549634544308511249e+04,-9.743310992852554773e+04
0.000000000000000000e+00,-9.854459232665201125e+04,-9.802875794120524370e+04,-9.972225361804501154e+04,-1.007441354550601100e+05,-1.049878860594806611e+05,-1.031680889136402402e+05
0.000000000000000000e+00,-9.944531344586669002e+04,-1.070293440350999299e+05,-1.088911931527927663e+05,-1.131086533114818594e+05,-1.136444579503086279e+05,-1.057518391765698907e+05
0.000000000000000000e+00,-9.331110026140572154e+04,-9.282715692503948230e+04,-9.281503290735409246e+04,-9.664030904745098087e+04,-9.684113163476550835e+04,-9.772946166494267527e+04
0.000000000000000000e+00,-1.004433870376092382e+05,-1.012422345173312788e+05,-1.022625667772910965e+05,-1.054262021609789226e+05,-1.063676527286994533e+05,-1.049740097288406250e+05
