# 3 hidden states, 4 hidden states, 5 hidden states, 6 hidden states, 7 hidden states, 8 hidden states, 
0.000000000000000000e+00,-7.807394984078835114e+04,-7.854330519030189316e+04,-8.398391207730732276e+04,-8.053041243849253806e+04,-8.176346913496956404e+04,-8.256661349484349194e+04
0.000000000000000000e+00,-6.220012968572245154e+04,-6.457405004947279667e+04,-6.522716237156825810e+04,-6.730419014004072233e+04,-6.008214699198714516e+04,-6.112899437024020881e+04
0.000000000000000000e+00,-7.719085035575336951e+04,-8.353806422225490678e+04,-8.422488131875105319e+04,-9.242126220316041145e+04,-9.659882005174695223e+04,-9.090915374785926542e+04
0.000000000000000000e+00,-7.018892381793474487e+04,-7.493672360920393839e+04,-7.834051378757541534e+04,-8.172114965765365923e+04,-7.580200985555462830e+04,-7.274141436317097396e+04
0.000000000000000000e+00,-8.456240685324766673e+04,-9.967095751369597565e+04,-9.681366406872948573e+04,-1.050569409222593240e+05,-9.369492054018208000e+04,-9.612350788173862384e+04
0.000000000000000000e+00,-7.444325211068932549e+04,-8.025262011698589777e+04,-8.171802672478630848e+04,-8.540679107232132810e+04,-8.158827331488807977e+04,-8.069393677157051570e+04
