# Data_idx, SoF, Classification result, Classfication Correct of not, S model Score, F model Socre
7.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.462213385638022919e+04,-1.735576651787320952e+04
2.300000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,-2.024110647039829928e+04,-2.385321070580852393e+04
2.000000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.539091003436110259e+04,-2.215860583257974213e+04
5.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.589041604077516604e+04,-1.968849724208869156e+04
3.000000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.956946068864740664e+04,-2.529653713330670871e+04
2.900000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,-2.024981984868962536e+04,-2.738019169842382325e+04
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,-2.108423427114122751e+04,-2.895397292731732887e+04
1.400000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.354885697843092021e+04,-1.462587687485287825e+04
1.300000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.652803247743468091e+04,-1.888217797245469774e+04
2.600000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,-2.461743894555804582e+04,-3.019153587399653043e+04
1.600000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.159066418404302385e+04,-1.152905486609739273e+04
2.100000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.957798588384089089e+04,-2.684697875740068048e+04
1.800000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,-2.131097485496570880e+04,-2.855209826001739930e+04
1.100000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.530486830931265104e+04,-1.768246217238776444e+04
4.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,-2.240647517428759238e+04,-2.755350490903630998e+04
2.400000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.808346937849169990e+04,-2.241747364753724105e+04
1.900000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.849256327250293907e+04,-2.264446017503277471e+04
3.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.315558335021495986e+04,-1.696976123458607617e+04
1.500000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.518128767485031312e+04,-1.671732608836555664e+04
1.000000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.679816127122357648e+04,-1.924163264948161304e+04
4.300000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-4.545470752270688536e+04,-2.792943019888540221e+04
5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-2.979932346123862226e+04,-2.203741925378665474e+04
3.900000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-4.171835085740443174e+04,-2.122970391183762331e+04
3.800000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-5.856673063667027600e+04,-2.195417155457358240e+04
3.200000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-4.703805173908775760e+04,-2.132725522431543868e+04
4.200000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-4.682222364156317053e+04,-3.055093142271646866e+04
3.400000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-3.310432515610339033e+04,-2.237861702738262466e+04
4.400000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-7.271438623699665186e+04,-2.485471188130504015e+04
5.700000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-3.682762733829888020e+04,-2.598713007566657325e+04
5.400000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-4.284132514913572231e+04,-2.033422275844293472e+04
5.800000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-4.081158125631047733e+04,-2.453265527837417176e+04
3.600000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-6.270830301252637582e+04,-2.134955289430698758e+04
5.600000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-3.324362519288171461e+04,-2.271584179937105728e+04
4.600000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-3.523087086715962505e+04,-2.125775998817023719e+04
5.900000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-2.995405065212670888e+04,-2.257549693090028086e+04
5.200000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-2.542939437618289958e+04,-2.103440730482326762e+04
4.700000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-3.867818052053904830e+04,-2.015135968719391531e+04
