# 3 hidden states, 4 hidden states, 5 hidden states, 6 hidden states, 7 hidden states, 8 hidden states, 
0.000000000000000000e+00,-7.043831876525742700e+04,-7.417213545611053996e+04,-7.922013953777085408e+04,-8.331077199793222826e+04,-7.425125523116072873e+04,-8.667915600171589176e+04
0.000000000000000000e+00,-8.914757441661518533e+04,-8.875276767841236142e+04,-8.727380978080147179e+04,-8.957996766122392728e+04,-9.713754112454547430e+04,-9.971511122854700079e+04
0.000000000000000000e+00,-7.603472109653783264e+04,-8.601105614756126306e+04,-9.098240524584410014e+04,-9.100999825151852565e+04,-9.296815940526392660e+04,-9.615607652094704099e+04
0.000000000000000000e+00,-8.465497775690385606e+04,-8.901085596066758444e+04,-9.028366023354124627e+04,-1.029755544019600784e+05,-9.722460370543229510e+04,-9.594191651919393917e+04
0.000000000000000000e+00,-6.816066982773572090e+04,-6.762122943380680226e+04,-6.704776200776452606e+04,-6.773262764987065748e+04,-6.849844320165652607e+04,-6.723725874435683363e+04
0.000000000000000000e+00,-7.768725237261000439e+04,-8.111360893531169859e+04,-8.296155536114444840e+04,-8.692178399250107759e+04,-8.601600053361177561e+04,-8.914590380295211799e+04
