# 3 hidden states, 4 hidden states, 5 hidden states, 6 hidden states, 7 hidden states, 8 hidden states, 
0.000000000000000000e+00,-1.003331126613070228e+05,-1.038729426986780309e+05,-1.030871476633338607e+05,-1.044329755141421920e+05,-1.054771251550427551e+05,-1.109041163594041718e+05
0.000000000000000000e+00,-1.119085648146909371e+05,-1.092708977317242534e+05,-1.123944888795501902e+05,-1.297228711599033268e+05,-1.250841623571126984e+05,-1.307219422639783734e+05
0.000000000000000000e+00,-9.917702703208688763e+04,-9.827583895466549438e+04,-1.053339741708918882e+05,-1.039074351531362481e+05,-1.026471592946649762e+05,-1.045519408091410587e+05
0.000000000000000000e+00,-9.446071648780237592e+04,-9.704672238336168812e+04,-9.771036857056136068e+04,-9.740019018611418142e+04,-9.826475180539107532e+04,-1.011590247872065374e+05
0.000000000000000000e+00,-1.049584496391053544e+05,-1.016586362864699331e+05,-1.026289980939782836e+05,-1.020853874595302768e+05,-1.048720997373948194e+05,-1.044433184420686739e+05
0.000000000000000000e+00,-1.021675741269985156e+05,-1.020250076109798683e+05,-1.042309954756631196e+05,-1.075097718945652450e+05,-1.072690596699212620e+05,-1.103560685323597572e+05
