# 3 hidden states, 4 hidden states, 5 hidden states, 6 hidden states, 7 hidden states, 8 hidden states, 
0.000000000000000000e+00,-9.508775054023660778e+04,-9.639099387364895665e+04,-9.516122538263976458e+04,-9.464609820901913918e+04,-9.910179336173326010e+04,-1.013601154055572260e+05
0.000000000000000000e+00,-1.007206635302126087e+05,-9.966145188612560742e+04,-1.032154883825815632e+05,-1.090479477527800191e+05,-1.062905023053037439e+05,-1.107853270736929408e+05
0.000000000000000000e+00,-1.006022295794650563e+05,-1.002451979597786703e+05,-1.016405770696469262e+05,-1.031380144381857681e+05,-1.033269881477340241e+05,-1.049286748546172748e+05
0.000000000000000000e+00,-9.549418029352290614e+04,-9.705493641602515709e+04,-9.671598618986678775e+04,-9.780283054466653266e+04,-9.945271562579568126e+04,-9.866841833459096961e+04
0.000000000000000000e+00,-1.091723278394368099e+05,-1.070283745744133630e+05,-1.071612446429651027e+05,-1.127360165714905452e+05,-1.149048938913998718e+05,-1.160045796701744985e+05
0.000000000000000000e+00,-1.002154303565747978e+05,-1.000761909419983567e+05,-1.007789043335400347e+05,-1.034741815032284067e+05,-1.046153786663933133e+05,-1.063494230677265878e+05
