# 3 hidden states, 4 hidden states, 5 hidden states, 6 hidden states, 7 hidden states, 8 hidden states, 
0.000000000000000000e+00,-9.411325433048568084e+04,-9.505512890013337892e+04,-9.504804884725996817e+04,-9.411297111193748424e+04,-9.804530527622929367e+04,-9.945101455333241029e+04
0.000000000000000000e+00,-9.404348742653299996e+04,-9.733188063531993248e+04,-9.352827307384950109e+04,-1.012450172299981932e+05,-1.005582339619508566e+05,-9.952928220075365971e+04
0.000000000000000000e+00,-1.051473135696758982e+05,-1.070904436949689407e+05,-1.079773385664517264e+05,-1.121344795153287560e+05,-1.146072507605889696e+05,-1.131360425250201079e+05
0.000000000000000000e+00,-1.113913864326293260e+05,-1.091987612128023611e+05,-1.132902910988921940e+05,-1.178556343276208063e+05,-1.176532932288946613e+05,-1.203912544445167587e+05
0.000000000000000000e+00,-1.051740558664891869e+05,-1.033958334693064535e+05,-1.060360211261780059e+05,-1.069014990897740936e+05,-1.039592368174784060e+05,-1.061491219709901925e+05
0.000000000000000000e+00,-1.019738995251626184e+05,-1.024144095825062104e+05,-1.031759945425262704e+05,-1.064499202549318725e+05,-1.069646640090284345e+05,-1.077313431389226316e+05
