# Overall CCR, Precision, Recall, F1
1.000000000000000000e+02,1.000000000000000000e+02,1.000000000000000000e+02,1.000000000000000000e+02
9.000000000000000000e+01,1.000000000000000000e+02,8.000000000000000000e+01,8.888888888888889994e+01
