# 3 hidden states, 4 hidden states, 5 hidden states, 6 hidden states, 7 hidden states, 8 hidden states, 
0.000000000000000000e+00,-7.343600654281189782e+04,-7.428143193524834351e+04,-7.412310306625171506e+04,-7.594931832554077846e+04,-7.456726560374931432e+04,-7.600277661461345269e+04
0.000000000000000000e+00,-7.613039367149112513e+04,-8.801638804121290741e+04,-8.985902536364761181e+04,-8.988324331420118688e+04,-1.037260666109850572e+05,-8.357509566576326324e+04
0.000000000000000000e+00,-7.325926356037864753e+04,-7.438106119033588038e+04,-7.416435305423280806e+04,-7.396704264437095844e+04,-7.332491939464290044e+04,-7.358258198908202758e+04
0.000000000000000000e+00,-7.579067438708880218e+04,-8.126626272060105111e+04,-7.703561154645627539e+04,-8.424707157941168407e+04,-8.121378148978934041e+04,-9.485528855233170907e+04
0.000000000000000000e+00,-8.202942384719126858e+04,-8.767128718266756914e+04,-9.501053811680665240e+04,-1.018068216378737561e+05,-1.097719154960067972e+05,-1.026180201923123386e+05
0.000000000000000000e+00,-7.612915240179235116e+04,-8.112328621401314740e+04,-8.203852622947901546e+04,-8.517069950027967570e+04,-8.852078971903467027e+04,-8.612675260282056115e+04
