# 3 hidden states, 4 hidden states, 5 hidden states, 6 hidden states, 7 hidden states, 8 hidden states, 
0.000000000000000000e+00,-1.011894569863979705e+05,-1.046157484344111290e+05,-1.093054750686386833e+05,-1.076463571311464038e+05,-1.123013674224190763e+05,-1.100842867105431360e+05
0.000000000000000000e+00,-1.025201304600432923e+05,-1.035161394303446141e+05,-1.035994297057301737e+05,-1.042492416286686057e+05,-1.109587346440266992e+05,-1.101992889476781711e+05
0.000000000000000000e+00,-1.039708393199906277e+05,-1.044161665344951907e+05,-1.058492256043817906e+05,-1.055911821623922442e+05,-1.084600593992779613e+05,-1.114608949597784085e+05
0.000000000000000000e+00,-9.643768957936290826e+04,-9.820981342162303918e+04,-1.003603162101076159e+05,-1.001382531869927479e+05,-9.793216991191389388e+04,-1.138902505511660856e+05
0.000000000000000000e+00,-1.069712027902572590e+05,-1.089121554161858076e+05,-1.046172673404000961e+05,-1.042217809215235029e+05,-1.137482606926129665e+05,-1.148334484071088518e+05
0.000000000000000000e+00,-1.022178638272104145e+05,-1.039340046474119590e+05,-1.047463427858516661e+05,-1.043693630061447038e+05,-1.086801184140501282e+05,-1.120936339152549335e+05
