# 3 hidden states, 4 hidden states, 5 hidden states, 6 hidden states, 7 hidden states, 8 hidden states, 
0.000000000000000000e+00,-8.841591743583543575e+04,-9.029373508757400850e+04,-9.144604189438922913e+04,-9.410490846108063124e+04,-9.959730880413556588e+04,-9.483666701851807011e+04
0.000000000000000000e+00,-7.334142267721949611e+04,-7.784651762895811407e+04,-8.041595207158733683e+04,-7.600856074915418867e+04,-7.886310680465122277e+04,-7.882505122868684703e+04
0.000000000000000000e+00,-7.115641067768223002e+04,-7.715914092193869874e+04,-7.978803968120981881e+04,-7.868530901067875675e+04,-7.870933379930500814e+04,-7.824321538492711261e+04
0.000000000000000000e+00,-7.593022587627756002e+04,-7.919318691663211212e+04,-8.321020768889255123e+04,-8.749498642117666896e+04,-8.424765084970708995e+04,-1.058530675079712528e+05
0.000000000000000000e+00,-6.803919979962875368e+04,-6.966219660937707522e+04,-7.234249379077127378e+04,-7.582727978731258190e+04,-7.552045030474237865e+04,-7.871042031159281032e+04
0.000000000000000000e+00,-7.537663529332869803e+04,-7.883095543289599300e+04,-8.144054702537004778e+04,-8.242420888588056550e+04,-8.338757011250825599e+04,-8.729368429033920984e+04
