# 3 hidden states, 4 hidden states, 5 hidden states, 6 hidden states, 7 hidden states, 8 hidden states, 
0.000000000000000000e+00,-7.375845141476127901e+04,-8.230355832917289808e+04,-8.301250003120285692e+04,-8.623689278003138315e+04,-7.914513387088851596e+04,-8.191074984393644263e+04
0.000000000000000000e+00,-7.768085676461769617e+04,-7.720509379990622983e+04,-8.194617714769978193e+04,-8.755363546834992303e+04,-9.493041045027744258e+04,-9.519996196137295919e+04
0.000000000000000000e+00,-9.405722703479879419e+04,-1.087881632253399875e+05,-9.332467915306609939e+04,-9.313661073886656959e+04,-9.539763271755185269e+04,-1.004037585410473985e+05
0.000000000000000000e+00,-6.574173087317115278e+04,-7.166523318058360019e+04,-7.131202979522520036e+04,-7.306182710679047159e+04,-7.197560935434448766e+04,-7.049304538390556991e+04
0.000000000000000000e+00,-7.690394278030305577e+04,-7.947662942770142399e+04,-8.210401548767783970e+04,-9.210111979255273764e+04,-9.429512424468537210e+04,-8.390001834823969693e+04
0.000000000000000000e+00,-7.762844177353040141e+04,-8.388773559254083375e+04,-8.233988032297434984e+04,-8.641801717731820827e+04,-8.714878212754952256e+04,-8.638150681570041343e+04
