1,3,7,2,1,0,141,270,429,306
1,2,6,1,2,0,141,269,428,306
1,2,6,2,2,0,142,268,428,306
0,2,5,1,2,2,141,269,428,306
1,2,6,1,2,1,142,268,428,306
1,3,7,2,2,1,142,269,430,306
2,2,7,1,2,1,142,269,429,306
4,4,3,0,2,0,142,269,431,304
1,1,7,1,1,0,141,269,429,306
1,1,7,2,2,0,142,268,429,306
0,1,6,1,2,1,141,269,430,307
2,2,6,2,2,1,141,270,429,306
1,1,6,2,2,1,141,269,428,306
1,2,6,1,1,1,141,269,430,306
2,2,7,2,3,0,141,270,428,306
2,0,9,0,1,1,141,268,428,308
2,1,6,1,1,1,141,270,429,306
0,3,7,1,2,0,141,268,429,306
0,2,7,2,2,2,141,268,430,306
1,1,6,2,2,1,141,269,428,306
1,3,7,2,2,1,141,267,429,306
2,2,6,2,2,2,141,269,429,306
2,1,6,1,2,1,141,269,428,306
1,6,2,1,2,2,142,269,431,304
1,1,7,2,2,1,141,268,429,306
2,2,7,1,3,1,141,268,429,306
2,2,6,2,2,1,141,270,429,306
3,1,6,0,2,1,142,267,429,306
2,2,6,0,2,1,141,269,430,306
0,2,6,1,2,0,141,268,430,306
0,1,6,2,2,0,141,269,429,306
1,2,6,2,1,2,141,268,430,305
0,1,7,2,2,1,141,268,429,306
1,1,6,1,1,1,141,268,429,305
0,2,7,2,1,0,141,268,429,306
1,1,5,2,3,2,141,269,430,306
1,1,6,3,3,0,141,269,429,306
2,1,5,1,2,1,141,268,429,306
1,2,6,2,3,0,142,269,429,306
0,2,6,0,2,0,142,268,429,306
0,4,6,0,3,1,141,270,424,308
1,2,6,1,3,2,141,269,428,306
1,1,5,1,2,1,141,268,429,306
0,2,5,1,3,0,141,269,430,306
2,2,6,2,2,1,142,268,429,306
0,1,5,0,2,2,141,269,428,306
2,1,6,0,2,2,142,269,429,305
2,2,6,1,1,1,142,268,429,306
3,5,4,0,2,1,142,269,431,304
1,1,5,1,3,1,141,269,430,306
1,2,6,2,2,1,141,269,430,306
0,1,6,1,3,0,141,268,429,306
2,1,6,2,2,1,141,268,429,305
2,1,6,2,3,0,141,270,429,306
1,2,6,1,2,2,141,269,429,306
2,2,5,1,2,1,141,268,429,306
1,5,3,0,2,5,142,268,429,307
1,2,5,1,1,1,141,269,428,306
1,1,5,0,2,0,141,270,430,306
0,2,6,2,3,0,142,269,430,306
2,2,5,1,2,0,141,269,429,306
2,2,4,0,2,1,141,269,429,306
1,1,6,2,2,0,140,269,430,306
0,1,5,2,2,1,141,270,428,306
2,1,5,2,3,2,141,269,430,305
1,4,1,1,2,2,142,269,430,305
1,2,4,1,3,1,141,270,429,306
1,0,6,1,2,0,141,269,429,305
1,1,5,1,2,1,141,269,429,306
1,1,4,1,2,0,141,270,429,306
2,2,6,2,1,1,141,269,429,305
2,2,5,1,3,1,141,269,429,305
1,2,5,1,2,1,141,267,428,306
4,3,6,0,2,0,142,268,431,301
2,0,6,2,2,1,141,270,430,306
1,2,5,1,3,1,141,268,430,306
1,2,4,0,2,2,141,270,429,305
2,1,5,2,2,1,141,270,429,305
1,2,5,1,2,1,141,270,428,305
0,2,5,2,2,1,141,268,430,305
2,2,5,1,2,2,141,269,430,305
0,4,5,0,4,2,141,270,428,306
1,2,5,1,2,2,141,268,430,305
2,2,4,2,1,1,141,269,429,305
3,1,5,0,2,1,141,269,430,306
1,2,5,1,2,2,141,269,430,305
0,0,4,1,2,0,140,268,429,305
2,1,4,1,1,2,141,270,429,305
1,1,5,2,2,2,141,269,429,305
2,1,5,2,2,1,141,269,430,305
1,1,3,2,4,0,141,271,432,305
0,1,5,2,3,2,141,269,430,305
2,2,5,1,3,0,141,268,429,305
1,1,5,2,2,1,141,268,429,305
2,1,4,1,2,1,140,270,429,305
2,1,5,1,2,0,140,268,429,305
1,1,4,2,1,2,141,268,431,305
1,2,6,0,2,2,140,270,429,305
2,6,1,0,2,0,141,271,431,304
1,2,5,1,2,2,141,270,429,305
2,0,5,2,2,1,141,269,429,305
0,1,5,2,2,2,141,268,429,305
2,2,5,1,2,0,141,269,430,305
2,2,4,1,3,0,141,270,429,305
2,1,5,1,2,1,141,269,430,305
2,1,4,2,2,1,141,269,429,305
0,0,5,5,1,2,141,264,428,306
2,2,4,1,2,1,141,269,430,305
0,2,5,2,2,1,140,267,431,305
1,2,4,2,2,0,141,269,428,305
0,1,4,1,2,0,140,269,429,305
2,2,4,0,2,2,141,269,430,305
2,1,5,1,2,0,141,269,430,305
2,1,5,1,2,0,141,269,429,305
0,2,6,0,2,0,140,269,430,305
1,4,3,0,1,4,139,271,430,305
1,2,5,2,2,1,141,269,429,305
1,2,5,0,2,1,141,268,431,305
2,1,5,1,2,1,141,268,428,305
2,1,5,0,2,0,141,269,429,304
1,1,5,1,2,1,141,267,429,305
1,2,5,2,2,0,141,269,429,305
2,1,5,1,2,1,140,269,430,305
0,1,4,0,5,2,141,269,424,307
2,1,4,1,3,0,140,270,429,305
2,2,4,2,1,0,140,269,430,305
3,2,5,1,2,1,141,269,429,305
2,2,4,1,2,1,141,269,429,305
1,1,5,1,2,1,140,269,429,304
1,1,5,1,2,1,141,267,429,305
2,2,4,1,2,0,141,269,429,305
3,2,8,1,1,0,139,271,433,300
2,2,5,0,2,0,141,269,428,305
2,1,5,1,2,0,140,268,430,305
1,1,4,1,2,1,141,270,430,304
1,2,4,2,3,1,140,269,428,305
2,3,6,1,2,1,140,269,430,305
2,1,4,1,2,0,140,267,428,304
1,1,5,1,2,0,141,269,429,305
0,1,4,2,2,1,141,268,429,304
1,1,4,1,3,1,141,269,430,304
1,1,4,2,2,0,141,267,429,304
1,1,4,1,2,1,141,267,429,305
2,1,5,1,2,0,141,268,430,304
1,1,4,0,1,2,140,268,430,304
2,1,4,1,2,1,141,268,430,304
1,2,3,1,2,1,141,268,430,305
1,1,4,1,2,1,141,267,430,304
3,5,2,1,1,1,140,269,431,300
2,2,4,2,2,1,141,267,430,304
0,1,5,1,2,0,140,267,429,304
1,1,4,1,3,2,141,269,429,305
1,2,5,1,2,2,141,268,429,304
2,1,4,1,2,1,140,269,430,304
0,3,6,0,2,2,140,269,430,305
0,0,4,1,2,1,140,268,429,304
3,4,2,1,2,1,141,269,430,304
1,1,5,1,3,0,140,269,429,304
2,3,5,1,2,0,141,269,430,304
2,2,4,2,2,2,140,268,429,304
1,1,4,1,2,1,140,268,430,304
2,1,6,1,3,0,140,268,430,304
2,2,4,1,1,1,140,269,430,304
2,2,3,2,1,1,140,266,431,304
4,6,1,0,4,2,141,269,427,306
1,3,5,1,2,2,141,267,429,304
2,1,5,1,2,1,140,270,430,304
2,2,5,1,2,1,140,269,430,304
1,2,4,2,2,0,140,269,428,304
2,1,5,2,1,1,140,269,431,304
1,2,5,0,3,2,140,268,430,304
2,0,5,1,3,1,140,268,429,304
