# 3 hidden states, 4 hidden states, 5 hidden states, 6 hidden states, 7 hidden states, 8 hidden states, 
0.000000000000000000e+00,-6.869944419094496698e+04,-7.224611575395804539e+04,-7.359646085761734867e+04,-7.352582738444869756e+04,-7.746455635266279569e+04,-7.250456527745698986e+04
0.000000000000000000e+00,-8.678745450154549326e+04,-9.282734270691918209e+04,-9.681667506429206696e+04,-1.096443943079759483e+05,-1.114385326708719949e+05,-1.180505503587179701e+05
0.000000000000000000e+00,-8.076243401926358638e+04,-9.736820663998594682e+04,-1.079914977771307458e+05,-1.272226508122126397e+05,-1.181322019650457223e+05,-1.302926468645405548e+05
0.000000000000000000e+00,-8.329470771443970443e+04,-8.294773118600799353e+04,-7.989770494342379970e+04,-7.953022147813746415e+04,-8.300079188616754254e+04,-8.666191702749785327e+04
0.000000000000000000e+00,-7.511270034897478763e+04,-7.352612447915083612e+04,-7.718719206812008633e+04,-8.525157488672259205e+04,-7.637490726969868410e+04,-8.426878162621741649e+04
0.000000000000000000e+00,-7.893134815503371647e+04,-8.378310415320440370e+04,-8.709790614211680077e+04,-9.503493377389948000e+04,-9.328219802888933918e+04,-9.835569223088616855e+04
