# 3 hidden states, 4 hidden states, 5 hidden states, 6 hidden states, 7 hidden states, 8 hidden states, 
0.000000000000000000e+00,-8.497542685312405229e+04,-8.854600643024887540e+04,-8.303025668221444357e+04,-9.213822125857915671e+04,-9.806632265518893837e+04,-9.517621961438446306e+04
0.000000000000000000e+00,-6.624550805883883731e+04,-6.483455073337259819e+04,-6.705518765047562192e+04,-6.949592822682736733e+04,-6.644806697933669784e+04,-7.164339676043995132e+04
0.000000000000000000e+00,-8.350498313290650549e+04,-9.435147341360876453e+04,-1.035853634451382677e+05,-9.996624820287691546e+04,-9.020798154956739745e+04,-8.990726606083428487e+04
0.000000000000000000e+00,-7.392927268927970727e+04,-9.426768399325592327e+04,-9.707158392775368702e+04,-1.019886453365793132e+05,-1.127620573734559293e+05,-8.231869423411448952e+04
0.000000000000000000e+00,-8.056615580382925691e+04,-8.323389323757757666e+04,-9.011487980392962345e+04,-9.259574929409468314e+04,-1.029868873317490070e+05,-1.032572036826527474e+05
0.000000000000000000e+00,-7.784426930759566312e+04,-8.504672156161275052e+04,-8.817145430190232582e+04,-9.123695846379149589e+04,-9.409426317785959691e+04,-8.846055607048518141e+04
