# 3 hidden states, 4 hidden states, 5 hidden states, 6 hidden states, 7 hidden states, 8 hidden states, 
0.000000000000000000e+00,-6.722160455355458544e+04,-6.727053826472515357e+04,-6.911247758011370024e+04,-7.171031805268676544e+04,-7.163168400402679981e+04,-7.128644957379689731e+04
0.000000000000000000e+00,-7.739867203445731138e+04,-7.942346537748267292e+04,-7.457268390798319888e+04,-7.634831745773035800e+04,-8.266755119734606706e+04,-7.981476550926138589e+04
0.000000000000000000e+00,-6.553829829741720459e+04,-7.008332311213777575e+04,-7.152022522831623792e+04,-7.546469172241429624e+04,-7.574386202204186702e+04,-8.062634606465685647e+04
0.000000000000000000e+00,-8.299799315291424864e+04,-1.082195577797231526e+05,-1.180598521421191108e+05,-1.208461047764918621e+05,-1.444352283814482507e+05,-1.346593034745395998e+05
0.000000000000000000e+00,-6.764989934894948965e+04,-6.770302381893234269e+04,-6.981539094496188045e+04,-7.105839527495251969e+04,-7.180618362960760714e+04,-7.675294364593495266e+04
0.000000000000000000e+00,-7.216129347745855921e+04,-7.853998167060021660e+04,-8.061612596069883148e+04,-8.308556545685515448e+04,-8.925690184689412126e+04,-8.862796165363793261e+04
