# 3 hidden states, 4 hidden states, 5 hidden states, 6 hidden states, 7 hidden states, 8 hidden states, 
0.000000000000000000e+00,-1.005327404740279453e+05,-1.055504518930528429e+05,-1.060432095700850186e+05,-1.131057573487191257e+05,-1.110239110613383382e+05,-1.161697949283177004e+05
0.000000000000000000e+00,-1.073443262066896714e+05,-1.069586706785786228e+05,-1.090402106775359716e+05,-1.124348921271436848e+05,-1.164674166619282332e+05,-1.167933099525767902e+05
0.000000000000000000e+00,-9.732654802546495921e+04,-9.677903402743532206e+04,-9.778207309514995723e+04,-9.791324514832056593e+04,-9.994289943274443795e+04,-1.000118813501120312e+05
0.000000000000000000e+00,-9.900071143267973093e+04,-9.830995205214430462e+04,-9.768695239507753286e+04,-1.007071356610150542e+05,-1.018753518332126259e+05,-1.062005810932111781e+05
0.000000000000000000e+00,-9.577278740884026047e+04,-9.501006683413076098e+04,-9.528890516802505590e+04,-9.537857139040240145e+04,-1.049116650744271465e+05,-9.554922514360045898e+04
0.000000000000000000e+00,-9.999542270954052219e+04,-1.005216350970683852e+05,-1.011682701811747102e+05,-1.039079203351201577e+05,-1.068442488127301476e+05,-1.069449584935636231e+05
