# 3 hidden states, 4 hidden states, 5 hidden states, 6 hidden states, 7 hidden states, 8 hidden states, 
0.000000000000000000e+00,-7.603429683063665289e+04,-9.629413943716007634e+04,-8.005837921264498436e+04,-8.075271932162292069e+04,-8.789369787439715583e+04,-8.427330456598635647e+04
0.000000000000000000e+00,-6.789792112512655149e+04,-7.070933998337786761e+04,-7.633932408239674987e+04,-8.351869357595364272e+04,-8.175842896848915552e+04,-8.500246728799953416e+04
0.000000000000000000e+00,-7.764426236931279709e+04,-8.817121772102441173e+04,-8.992972021480981493e+04,-9.461526531020188122e+04,-9.155691971918274066e+04,-9.035055424611931085e+04
0.000000000000000000e+00,-7.538786749854939990e+04,-8.477356612674896314e+04,-8.539368725330731831e+04,-8.826083652128222457e+04,-9.782186227972825873e+04,-9.229692078677119571e+04
0.000000000000000000e+00,-6.437768648008495074e+04,-6.465192289340899151e+04,-6.331746135466031410e+04,-6.494813684215957619e+04,-6.570981561054698250e+04,-6.702502546147990506e+04
0.000000000000000000e+00,-7.226840686074207770e+04,-8.092003723234406789e+04,-7.900771442356384068e+04,-8.241913031424404471e+04,-8.494814489046885865e+04,-8.378965446967126627e+04
