# 3 hidden states, 4 hidden states, 5 hidden states, 6 hidden states, 7 hidden states, 8 hidden states, 
0.000000000000000000e+00,-6.877508755159066641e+04,-7.074640534407339874e+04,-7.068067735475837253e+04,-8.058942522519620252e+04,-6.940474622690175602e+04,-6.924202526098079397e+04
0.000000000000000000e+00,-8.920263440248127154e+04,-8.811195727673516376e+04,-9.571258197306416696e+04,-8.124510609478929837e+04,-7.974471206386195263e+04,-8.266588250047492329e+04
0.000000000000000000e+00,-7.849417391799965117e+04,-7.905955967644830525e+04,-8.146541565741704835e+04,-9.707095007763565809e+04,-7.767889921543181117e+04,-7.547195754901277542e+04
0.000000000000000000e+00,-6.851826327939657494e+04,-6.947824254500906682e+04,-7.079852615226423950e+04,-7.366868069519323763e+04,-6.927102726863857242e+04,-7.160389722413758864e+04
0.000000000000000000e+00,-8.466806938940430700e+04,-1.039935584012997715e+05,-1.008359740719162510e+05,-1.065266943352199596e+05,-1.063910268084366689e+05,-9.217010001726291375e+04
0.000000000000000000e+00,-7.793164570817450294e+04,-8.227794464871313539e+04,-8.389863504188401566e+04,-8.782017128560687706e+04,-8.049808231665416679e+04,-7.823077251037379028e+04
