# 3 hidden states, 4 hidden states, 5 hidden states, 6 hidden states, 7 hidden states, 8 hidden states, 
0.000000000000000000e+00,-1.001345231548203592e+05,-9.939939066366718907e+04,-9.853821539741057495e+04,-1.004277887806921790e+05,-1.007512788476152782e+05,-1.028284910228979570e+05
0.000000000000000000e+00,-9.316286673547208193e+04,-9.424169273828204314e+04,-9.513250728181409067e+04,-9.553252766089567740e+04,-9.483917874811295769e+04,-9.697114311752561480e+04
0.000000000000000000e+00,-9.580528678347924142e+04,-9.563139372109959368e+04,-9.722634897381263727e+04,-9.670953548597003100e+04,-9.760235668312212511e+04,-9.902798948275164003e+04
0.000000000000000000e+00,-1.063268471825602755e+05,-1.077109343681066821e+05,-1.086399813916833664e+05,-1.098049947268187389e+05,-1.139353870612660394e+05,-1.161018860232658917e+05
0.000000000000000000e+00,-9.116743851886953053e+04,-9.389576074885857815e+04,-9.423220961472575436e+04,-9.536535069132826175e+04,-9.863665298282608273e+04,-9.511589521714215516e+04
0.000000000000000000e+00,-9.731939247504029481e+04,-9.817583444800281723e+04,-9.875385253188929346e+04,-9.956803946914097469e+04,-1.011529708645884821e+05,-1.020090809727166488e+05
